name.latin,name.common,family,flower.shape,breeding.system,life.span,dicliny,height,bloom.start,bloom.end,bloom.peak,bloom.days,flower.density.mean,flower.density.peak,sugar.per.flower
Acer campestre,Field Maple,Sapindaceae,open,facultative autogamous,pluriennial,monoecious,tall,5/1/2013,6/30/2013,5/31/2013,60,250.56,NA,NA
Acer platanoides,Norway Maple,Sapindaceae,open,allogamous,pluriennial,monoecious,tall,4/1/2013,5/31/2013,4/30/2013,60,NA,NA,NA
Acer pseudoplatanus,Sycomore,Sapindaceae,open,facultative autogamous,pluriennial,monoecious,tall,4/1/2013,6/30/2013,5/16/2013,90,4555.68,7582.15,71.44
Achillea millefolium,Yarrow,Asteraceae,hidden,allogamous,annual,monoecious,small,6/1/2013,8/31/2013,7/16/2013,91,140231.51,175374.06,7.56
Achillea ptarmica,Sneezewort,Asteraceae,NA,allogamous,pluriennial,monoecious,small,7/1/2013,8/31/2013,7/31/2013,61,NA,NA,NA
Aegopodium podagraria,Ground Elder,Apiaceae,open,facultative allogamous,pluriennial,monoecious,medium,5/1/2013,7/31/2013,6/16/2013,91,NA,NA,NA
Aesculus hippocastanum,Horse chetnust,Sapindaceae,hidden,facultative allogamous,pluriennial,monoecious,tall,5/1/2013,6/30/2013,5/31/2013,60,3035.23,NA,449.28
Aethusa cynapium,Fool's Parsley,Apiaceae,open,facultative autogamous,annual,hermaphroditic,medium,7/1/2013,8/31/2013,7/31/2013,61,14898.18,30789.58,6.94
Agrimonia eupatoria,Agrimony,Rosaceae,pollen,facultative autogamous,pluriennial,hermaphroditic,small,6/1/2013,8/31/2013,7/16/2013,91,842.4,689.04,1.37
Ajuga reptans,Bugle,Lamiaceae,bee,mixed,pluriennial,hermaphroditic,small,5/1/2013,7/31/2013,6/16/2013,91,2016,13248,155.06
Allium cepa,Onion,Monocot,hidden,allogamous,pluriennial,hermaphroditic,medium,6/1/2013,7/31/2013,7/1/2013,60,25371.75,NA,206.75
Allium schoenoprasum,Chives,Monocot,hidden,allogamous,pluriennial,hermaphroditic,small,6/1/2013,7/31/2013,7/1/2013,60,13248,15897.6,263.44
Alnus glutinosa,Alder,Rosids,pollen,allogamous,pluriennial,monoecious,tall,2/1/2013,3/31/2013,3/1/2013,58,NA,NA,NA
Anagallis arvensis,Scarlet Pimpernel,Primulaceae,pollen,facultative autogamous,annual,hermaphroditic,small,6/1/2013,8/31/2013,7/16/2013,91,775.25,1667.31,0
Anchusa officinalis,Common Bugloss,Boraginaceae,bee,mixed,pluriennial,hermaphroditic,medium,6/1/2013,9/30/2013,7/31/2013,121,NA,NA,NA
Anemone nemorosa,Wood Anemone,Ranunculacea,pollen,facultative allogamous,pluriennial,hermaphroditic,small,3/1/2013,5/31/2013,4/15/2013,91,35.02,28.81,0.79
Angelica sylvestris,Angelica,Apiaceae,open,facultative allogamous,biennial.pluriennial,monoecious,medium,7/1/2013,9/30/2013,8/15/2013,91,13012.79,13189.19,15.66
Anthriscus sylvestris,Cow Parsley,Apiaceae,open,facultative allogamous,pluriennial,monoecious,medium,4/1/2013,6/30/2013,5/16/2013,90,26245.96,29526.71,11.33
